time,signal_A,signal_B,signal_C
0.0,0.2,0.497884,0.706811
0.168421,0.249469,0.519595,0.709812
0.336842,0.297401,0.539844,0.709149
0.505263,0.342308,0.558333,0.704837
0.673684,0.382796,0.57479,0.696973
0.842105,0.417609,0.588973,0.685739
1.010526,0.445667,0.600675,0.671393
1.178947,0.466101,0.609724,0.654262
1.347368,0.478281,0.615986,0.634741
1.515789,0.481834,0.619369,0.613276
1.684211,0.476655,0.619825,0.59036
1.852632,0.462913,0.617346,0.566519
2.021053,0.441041,0.611968,0.542299
2.189474,0.411731,0.603771,0.518255
2.357895,0.375901,0.592875,0.49494
2.526316,0.334676,0.57944,0.472887
2.694737,0.28935,0.563664,0.452602
2.863158,0.241341,0.545777,0.434551
3.031579,0.192155,0.526043,0.419148
3.2,0.143331,0.504752,0.406745
3.368421,0.0964,0.482216,0.397627
3.536842,0.052831,0.458766,0.392004
3.705263,0.013991,0.434747,0.390004
3.873684,-0.018902,0.410512,0.391673
4.042105,-0.044817,0.386415,0.396972
4.210526,-0.062938,0.362812,0.405781
4.378947,-0.072693,0.340049,0.417898
4.547368,-0.073772,0.31846,0.433043
4.715789,-0.066134,0.298362,0.450871
4.884211,-0.050011,0.280051,0.470972
5.052632,-0.025899,0.263795,0.492885
5.221053,0.005456,0.249834,0.516108
5.389474,0.043083,0.238371,0.540108
5.557895,0.085814,0.229576,0.564335
5.726316,0.132324,0.223578,0.588234
5.894737,0.181168,0.220465,0.611255
6.063158,0.230829,0.220282,0.632872
6.231579,0.279765,0.223032,0.652588
6.4,0.326456,0.228675,0.669952
6.568421,0.369452,0.237128,0.684565
6.736842,0.407418,0.248267,0.696092
6.905263,0.439178,0.261928,0.704269
7.073684,0.463746,0.277911,0.708909
7.242105,0.480364,0.29598,0.709904
7.410526,0.488519,0.315871,0.707232
7.578947,0.487963,0.337291,0.700954
7.747368,0.478721,0.359926,0.691215
7.915789,0.461087,0.383443,0.678237
8.084211,0.435618,0.407497,0.662319
8.252632,0.403115,0.431735,0.643825
8.421053,0.364598,0.455801,0.623179
8.589474,0.321276,0.47934,0.600855
8.757895,0.274505,0.502008,0.577365
8.926316,0.225752,0.523472,0.553247
9.094737,0.176544,0.543416,0.529055
9.263158,0.128422,0.561547,0.505343
9.431579,0.082894,0.5776,0.482656
9.6,0.041386,0.591338,0.461512
9.768421,0.0052,0.602559,0.442398
9.936842,-0.024529,0.611099,0.425752
10.105263,-0.046867,0.616833,0.411954
10.273684,-0.061111,0.619676,0.401323
10.442105,-0.06681,0.619586,0.3941
10.610526,-0.063779,0.616565,0.390453
10.778947,-0.052107,0.610657,0.390465
10.947368,-0.032151,0.601949,0.394135
11.115789,-0.004527,0.590569,0.40138
11.284211,0.02991,0.576684,0.412033
11.452632,0.070092,0.560497,0.425849
11.621053,0.114773,0.542247,0.442513
11.789474,0.162565,0.522202,0.461642
11.957895,0.211985,0.500655,0.482797
12.126316,0.261497,0.477924,0.505493
12.294737,0.309564,0.454342,0.529209
12.463158,0.354692,0.430256,0.553403
12.631579,0.395481,0.40602,0.577518
12.8,0.430666,0.381988,0.601002
12.968421,0.459155,0.358515,0.623317
13.136842,0.480066,0.335945,0.64395
13.305263,0.492753,0.314609,0.662429
13.473684,0.496828,0.294822,0.67833
13.642105,0.492169,0.276872,0.691288
13.810526,0.478929,0.261025,0.701006
13.978947,0.457527,0.247513,0.70726
14.147368,0.428638,0.236534,0.709909
14.315789,0.393169,0.228249,0.70889
14.484211,0.352232,0.222781,0.704228
14.652632,0.307112,0.220209,0.696029
14.821053,0.259222,0.220571,0.684481
14.989474,0.210063,0.223862,0.669849
15.157895,0.161174,0.230034,0.652469
15.326316,0.114087,0.238996,0.632739
15.494737,0.070278,0.250617,0.611112
15.663158,0.031119,0.264725,0.588083
15.831579,-0.002161,0.281113,0.564181
16.0,-0.028519,0.299541,0.539953
